Replication,Line,Tester,Yield,Type
1,Genor101,tester2,22.05,cross
1,Genor101,tester1,16.3,cross
1,Genor105,tester2,21.4,cross
1,Genor105,tester1,15.6,cross
1,Genor106,tester2,27.8,cross
1,Genor106,tester1,12.46666667,cross
1,Genor109,tester2,31.8,cross
1,Genor109,tester1,25.43333333,cross
1,Genor113,tester2,18.6,cross
1,Genor113,tester1,18.29634534,cross
1,Genor114,tester2,14.26666667,cross
1,Genor114,tester1,8.366666667,cross
1,Genor117,tester2,20.9,cross
1,Genor117,tester1,17.43333333,cross
1,Genor118,tester2,15.86666667,cross
1,Genor118,tester1,19.525,cross
1,Genor119,tester2,32.5,cross
1,Genor119,tester1,15.7,cross
1,Genor124,tester2,29.3,cross
1,Genor124,tester1,17.7,cross
1,Genor127,tester2,46.225,cross
1,Genor127,tester1,16.7,cross
1,Genor16,tester2,12.63333333,cross
1,Genor16,tester1,18.09725973,cross
1,Genor20,tester2,28.15,cross
1,Genor20,tester1,18.26144923,cross
1,Genor21,tester2,20.03333333,cross
1,Genor21,tester1,9.325,cross
1,Genor22,tester2,22.2,cross
1,Genor22,tester1,18.23800933,cross
1,Genor23,tester2,24.63333333,cross
1,Genor23,tester1,8.8,cross
1,Genor25,tester2,21.23333333,cross
1,Genor25,tester1,19.85507034,cross
1,Genor26,tester2,21.23333333,cross
1,Genor26,tester1,13.8,cross
1,Genor27,tester2,12.35,cross
1,Genor27,tester1,10.6,cross
1,Genor28,tester2,20.1,cross
1,Genor28,tester1,18.81603341,cross
1,Genor29,tester2,18.825,cross
1,Genor29,tester1,7,cross
1,Genor30,tester2,22.8,cross
1,Genor30,tester1,12.6,cross
1,Genor31,tester2,10.025,cross
1,Genor31,tester1,11.3,cross
1,Genor33,tester2,23.775,cross
1,Genor33,tester1,17.8430201,cross
1,Genor35,tester2,20.2,cross
1,Genor35,tester1,18.00133576,cross
1,Genor36,tester2,27.78,cross
1,Genor36,tester1,23.5,cross
1,Genor37,tester2,18.06666667,cross
1,Genor37,tester1,3.925,cross
1,Genor40,tester2,25.6,cross
1,Genor40,tester1,24.1,cross
1,Genor45,tester2,20.95,cross
1,Genor45,tester1,13.5,cross
1,Genor48,tester2,27.5,cross
1,Genor48,tester1,31.48,cross
1,Genor49,tester2,26.9,cross
1,Genor49,tester1,21.43549286,cross
1,Genor53,tester2,18.16666667,cross
1,Genor53,tester1,12.2,cross
1,Genor55,tester2,18.4,cross
1,Genor55,tester1,28.05,cross
1,Genor60,tester2,16.9,cross
1,Genor60,tester1,45.96666667,cross
1,Genor61,tester2,22.56666667,cross
1,Genor61,tester1,21.43158712,cross
1,Genor68,tester2,23.5,cross
1,Genor68,tester1,39.85,cross
1,Genor69,tester2,19.76666667,cross
1,Genor69,tester1,21.41092791,cross
1,Genor71,tester2,12.3,cross
1,Genor71,tester1,9.64,cross
1,Genor72,tester2,9.46,cross
1,Genor72,tester1,2.95,cross
1,Genor73,tester2,7.44,cross
1,Genor73,tester1,12.5,cross
1,Genor75,tester2,37.925,cross
1,Genor75,tester1,21.43415419,cross
1,Genor77,tester2,29.4,cross
1,Genor77,tester1,24.49116169,cross
1,Genor78,tester2,27.78,cross
1,Genor78,tester1,21.3329118,cross
1,Genor80,tester2,20.86666667,cross
1,Genor80,tester1,16.35,cross
1,Genor81,tester2,14.5,cross
1,Genor81,tester1,21.41035367,cross
1,Genor82,tester2,21.24,cross
1,Genor82,tester1,11.375,cross
1,Genor83,tester2,20.23333333,cross
1,Genor83,tester1,8.44,cross
1,Genor85,tester2,30.6,cross
1,Genor85,tester1,11.73333333,cross
1,Genor86,tester2,10.6,cross
1,Genor86,tester1,24.5,cross
1,Genor87,tester2,21.275,cross
1,Genor87,tester1,25.33333333,cross
1,Genor88,tester2,29.5,cross
1,Genor88,tester1,23.65,cross
1,Genor91,tester2,21.84,cross
1,Genor91,tester1,19.03851164,cross
1,Genor93,tester2,24.475,cross
1,Genor93,tester1,16.3,cross
1,Genor94,tester2,20.85,cross
1,Genor94,tester1,23.5,cross
1,Genor97,tester2,25.95,cross
1,Genor97,tester1,29.35,cross
1,Genor98,tester2,26.975,cross
1,Genor98,tester1,10.475,cross
2,Genom100,tester2,6.22,cross
2,Genom100,tester1,22.76666667,cross
2,Genom102,tester2,17.2,cross
2,Genom102,tester1,13.54,cross
2,Genom104,tester2,14.1,cross
2,Genom104,tester1,28.9,cross
2,Genom106,tester2,13.2,cross
2,Genom106,tester1,7.52,cross
2,Genom111,tester2,24.4,cross
2,Genom111,tester1,27.175,cross
2,Genom112,tester2,14.3,cross
2,Genom112,tester1,19.78,cross
2,Genom113,tester2,18.23591789,cross
2,Genom113,tester1,25.23333333,cross
2,Genom114,tester2,18.23018613,cross
2,Genom114,tester1,22.6,cross
2,Genom115,tester2,18.22339552,cross
2,Genom115,tester1,27.03333333,cross
2,Genom117,tester2,18.69920779,cross
2,Genom117,tester1,24.85,cross
2,Genom118,tester2,15.85,cross
2,Genom118,tester1,19,cross
2,Genom119,tester2,16.03333333,cross
2,Genom119,tester1,24.45,cross
2,Genom120,tester2,10.8,cross
2,Genom120,tester1,24.96666667,cross
2,Genom131,tester2,17.2,cross
2,Genom131,tester1,22.2,cross
2,Genom136,tester2,15.52428266,cross
2,Genom136,tester1,10.34,cross
2,Genom142,tester2,19.9,cross
2,Genom142,tester1,22.225,cross
2,Genom144,tester2,21.6,cross
2,Genom144,tester1,21.125,cross
2,Genom146,tester2,22.6,cross
2,Genom146,tester1,20.93333333,cross
2,Genom147,tester2,10.7,cross
2,Genom147,tester1,24.38,cross
2,Genom148,tester2,11.2,cross
2,Genom148,tester1,24.16666667,cross
2,Genom149,tester2,14.7,cross
2,Genom149,tester1,24.73333333,cross
2,Genom150,tester2,9.6,cross
2,Genom150,tester1,12.92,cross
2,Genom151,tester2,8.12,cross
2,Genom151,tester1,21.36666667,cross
2,Genom155,tester2,8.8,cross
2,Genom155,tester1,23.3,cross
2,Genom157,tester2,13.175,cross
2,Genom157,tester1,31.425,cross
2,Genom160,tester2,11.04,cross
2,Genom160,tester1,23.16666667,cross
2,Genom164,tester2,11.66,cross
2,Genom164,tester1,25.72,cross
2,Genom166,tester2,14.8,cross
2,Genom166,tester1,21.5,cross
2,Genom173,tester2,11.02,cross
2,Genom173,tester1,37.2,cross
2,Genom175,tester2,14.48,cross
2,Genom175,tester1,23.13175151,cross
2,Genom176,tester2,20.65,cross
2,Genom176,tester1,18.03333333,cross
2,Genom19,tester2,32.15,cross
2,Genom19,tester1,21.26666667,cross
2,Genom194,tester2,18.925,cross
2,Genom194,tester1,25.425,cross
2,Genom195,tester2,21.4,cross
2,Genom195,tester1,26.6,cross
2,Genom196,tester2,14.575,cross
2,Genom196,tester1,32.56,cross
