Environment,Block,Type,Plot_no,Genotype,Trait1,Trait2
loc2,5,test,152,geno40,106.92,16.5
loc2,5,test,153,geno43,113.96,14.85
loc2,5,test,154,geno44,115.72,12.76
loc2,5,test,155,geno47,97.02,15.4
loc2,5,test,156,geno57,117.48,14.52
loc2,5,test,157,geno65,104.5,13.93333334
loc2,5,test,158,geno66,105.82,18.7
loc2,5,test,159,geno69,110.22,14.575
loc2,5,test,160,geno74,111.32,15.18
loc2,5,test,161,geno75,114.18,15.18
loc2,5,test,162,geno76,108.46,16.225
loc2,5,test,163,geno81,115.5,9.68
loc2,5,test,164,geno82,123.2,11.275
loc2,5,test,165,geno92,106.7,16.5
loc2,5,test,166,geno93,119.9,15.125
loc2,5,test,167,geno94,102.52,17.6
loc2,5,test,168,geno96,102.96,13.42
loc2,5,test,169,geno106,110.44,13.75
loc2,5,test,170,geno116,107.525,17.6
loc2,5,check,171,check1,100.1,14.52
loc2,5,check,172,check2,90.86,15.62
loc2,5,check,173,check3,107.14,16.775
loc2,5,check,174,check4,107.8,13.2
loc2,5,check,175,check5,100.32,10.725
loc2,6,test,176,geno120,110,13.64
loc2,6,test,177,geno121,108.46,23.46666666
loc2,6,test,178,geno122,106.7,19.25
loc2,6,test,179,geno125,111.1,13.2
loc2,6,test,180,geno127,146.52,17.6
loc2,6,test,181,geno130,85.06666666,14.3
loc2,6,test,182,geno132,91.85,21.175
loc2,6,test,183,geno133,123.64,15.95
loc2,6,test,184,geno136,96.36,15.18
loc2,6,test,185,geno137,105.16,22
loc2,6,test,186,geno138,102.52,15.4
loc2,6,test,187,geno142,109.78,14.08
loc2,6,test,188,geno145,147.18,15.84
loc2,6,test,189,geno146,110.44,18.15
loc2,6,test,190,geno149,108.02,15.95
loc2,6,test,191,geno152,151.36,18.7
loc2,6,test,192,geno153,104.94,17.23333334
loc2,6,test,193,geno155,113.575,12.1
loc2,6,test,194,geno156,120.34,16.28
loc2,6,test,195,geno157,117.7,16.94
loc2,6,test,196,geno158,115.5,18.425
loc2,6,test,197,geno160,116.38,14.96
loc2,6,test,198,geno167,90.2,21.26666666
loc2,6,test,199,geno169,115.94,15.62
loc2,6,test,200,geno171,117.04,11.44
loc2,6,test,201,geno172,121.825,16.5
loc2,6,test,202,geno173,106.26,22.66
loc2,6,test,203,geno176,119.9,16.5
loc2,6,test,204,geno178,116.16,16.13333334
loc2,6,test,205,geno179,111.1,13.2
loc2,6,test,206,geno180,111.76,14.85
loc2,6,check,207,check1,98.12,17.82
loc2,6,check,208,check2,105.38,15.4
loc2,6,check,209,check3,110.44,14.85
loc2,6,check,210,check4,110,17.6
loc2,6,check,211,check5,100.76,14.3
loc3,1,test,1,geno2,89.65,12.76
loc3,1,test,2,geno7,77.44,11
loc3,1,test,3,geno9,86.35,12.98
loc3,1,test,4,geno10,75.46,10.725
loc3,1,test,5,geno16,88.66,16.86666666
loc3,1,test,6,geno19,86.24,13.2
loc3,1,test,7,geno23,86.24,13.475
loc3,1,test,8,geno24,83.325,14.3
loc3,1,test,9,geno25,84.975,14.025
loc3,1,test,10,geno32,107.25,13.475
loc3,1,test,11,geno34,131.2666666,12.1
loc3,1,test,12,geno35,114.95,9.46
loc3,1,test,13,geno37,87.34,7.7
loc3,1,test,14,geno39,97.02,14.08
loc3,1,test,15,geno45,94.325,9.02
loc3,1,test,16,geno49,79.475,10.175
loc3,1,test,17,geno51,85.14,13.2
loc3,1,test,18,geno52,85.14,11
loc3,1,test,19,geno53,89.46666666,12.375
loc3,1,test,20,geno54,93.86666666,12.375
loc3,1,test,21,geno61,81.84,11.73333334
loc3,1,test,22,geno73,89.375,19.06666666
loc3,1,test,23,geno79,91.85,13.2
loc3,1,test,24,geno80,94.96666666,15.4
loc3,1,test,25,geno87,92.18,14.3
loc3,1,test,26,geno89,89.32,10.78
