LOC,BLOCK,Type,GEN,Trait1,Trait2
loc2,5,test,genox120,96.8,14.3
loc1,5,test,genox146,116.82,5.94
loc3,5,test,genox146,93.28,14.52
loc2,5,test,genox146,104.06,17.325
loc1,5,test,genox149,111.32,5.5
loc3,5,test,genox149,91.3,10.175
loc2,5,test,genox149,113.08,13.2
loc1,5,test,genox2,111.54,6.38
loc1,5,test,genox202,135.85,4.62
loc3,5,test,genox202,109.725,12.1
loc2,5,test,genox202,126.72,11.275
loc1,5,test,genox209,104.8666667,7.92
loc3,5,test,genox209,97.9,13.2
loc2,5,test,genox209,106.92,16.5
loc1,5,test,genox212,100.54,8.36
loc1,5,test,genox216,123.9333334,6.16
loc3,5,test,genox216,99.88,10.63333333
loc2,5,test,genox216,113.96,14.85
loc1,5,test,genox221,121.44,6.16
loc1,5,test,genox222,114.95,5.72
loc3,5,test,genox222,94.16,9.35
loc2,5,test,genox222,115.72,12.76
loc1,5,test,genox225,119.075,6.82
loc1,5,test,genox228,108.075,8.14
loc1,5,test,genox232,114.125,7.48
loc1,5,test,genox234,90.75,8.36
loc3,5,test,genox234,92.125,14.08
loc2,5,test,genox234,97.02,15.4
loc1,5,test,genox255,113.3,5.28
loc3,5,test,genox255,89.1,13.2
loc2,5,test,genox255,117.48,14.52
loc1,5,test,genox283,112.2,4.84
loc3,5,test,genox283,86.02,8.8
loc2,5,test,genox283,104.5,13.93333334
loc1,5,test,genox290,103.675,7.04
loc3,5,test,genox290,93.72,10.78
loc2,5,test,genox290,105.82,18.7
loc1,5,test,genox296,107.8,7.92
loc3,5,test,genox296,90.42,12.65
loc2,5,test,genox296,110.22,14.575
loc1,5,test,genox305,104.72,7.48
loc3,5,test,genox305,96.14,12.98
loc2,5,test,genox305,111.32,15.18
loc1,5,test,genox308,107.8,7.92
loc3,5,test,genox308,86.68,11.55
loc2,5,test,genox308,114.18,15.18
loc1,5,test,genox310,120.2666666,7.04
loc3,5,test,genox310,100.1,13.75
loc2,5,test,genox310,108.46,16.225
loc3,5,test,genox318,89.1,9.02
loc2,5,test,genox318,115.5,9.68
loc1,5,test,genox319,114.7666666,8.14
loc3,5,test,genox319,93.5,8.25
loc2,5,test,genox319,123.2,11.275
loc1,5,test,genox341,116.6,7.7
loc3,5,test,genox341,103.4,12.54
loc2,5,test,genox341,106.7,16.5
loc2,5,test,genox343,119.9,15.125
loc1,5,test,genox35,102.3,7.92
loc3,5,test,genox35,80.66666666,12.925
loc2,5,test,genox35,102.52,17.6
loc1,5,test,genox37,105.16,7.7
loc3,5,test,genox37,83.82,14.025
loc2,5,test,genox37,102.96,13.42
loc1,5,test,genox62,111.65,7.92
loc3,5,test,genox62,97.46,9.9
loc2,5,test,genox62,110.44,13.75
loc1,5,test,genox86,116.6,6.82
loc3,5,test,genox86,94.96666666,11.22
loc2,5,test,genox86,107.525,17.6
loc1,5,test,genoy119,126.225,5.72
loc3,5,test,genoy119,110.66,15.125
loc1,5,check,PB1509,112.475,9.24
loc3,5,check,PB1509,79.2,13.64
loc2,5,check,PB1509,90.86,15.62
loc1,5,check,test2,113.08,7.26
loc3,5,check,test2,91.3,10.78
loc2,5,check,test2,107.14,16.775
loc1,5,check,test3,113.96,7.7
loc3,5,check,test3,96.36,16.775
loc2,5,check,test3,107.8,13.2
loc1,5,check,test4,99.275,7.48
loc3,5,check,test4,100.54,17.05
loc2,5,check,test4,100.32,10.725
loc1,6,check,genotest,91.74,8.58
loc3,6,check,genotest,77.66,14.3
loc2,6,check,genotest,98.12,17.82
loc1,6,test,genox354,110,8.58
loc1,6,test,genox6,156.86,5.94
loc1,6,test,genoy100,116.16,8.14
loc3,6,test,genoy100,89.54,11
loc2,6,test,genoy100,110,13.64
loc1,6,test,genoy101,114.4,7.48
loc3,6,test,genoy101,99.22,13.2
loc2,6,test,genoy101,108.46,23.46666666
loc2,6,test,genoy103,106.7,19.25
loc1,6,test,genoy106,106.15,7.04
loc3,6,test,genoy106,93.94,10.56
loc2,6,test,genoy106,111.1,13.2
loc1,6,test,genoy11,144.98,9.02
loc3,6,test,genoy11,121.66,8.8
