Pedigree,Trait1,Trait2,Trait3,Trait4,Trait5,Trait6,Trait7,Trait8,Trait9
GENO145,10.18755758,2.04891948,18.63263916,4.149450353,101.849036,89.88435184,68.01415861,2.23763356,5.882059544
GENO146,10.42841481,2.03251139,18.68310086,4.422157691,100.9667599,89.89800892,66.60285373,2.179672462,6.102142804
GENO147,9.639165365,2.081237526,18.71113783,4.103532659,98.17465321,87.92526208,63.43365665,2.351033372,5.589215669
GENO148,10.04227721,1.956184882,17.40464113,4.367063267,100.7728539,86.81001056,57.54967639,2.115819274,5.990504591
GENO149,10.32156676,1.995646884,17.64433748,4.946499792,101.6952882,89.66022178,62.29766671,2.072574162,6.119977352
GENO150,10.52817464,2.006783792,18.66726827,4.865590057,100.5110718,87.41365175,60.97987016,2.156109919,6.255027694
GENO151,10.498737,1.916144182,18.36914351,4.329351638,100.0731348,87.98187899,55.88658658,2.126272019,6.472037484
GENO152,10.25374299,2.056189268,17.25477151,4.338163375,101.0069804,85.92219859,52.38939208,2.054280773,5.920050475
GENO153,10.0591042,2.005992767,17.07965096,4.303361225,101.0154803,87.18967136,55.41759944,2.062188666,5.976753395
GENO154,9.835536083,2.001647233,17.02900177,4.053546796,100.6000874,88.23483546,63.61576499,2.126014369,5.778247034
GENO155,9.857518794,1.96967906,17.8895399,4.349981645,100.589483,86.72092129,59.5873697,2.212163189,5.924179704
GENO156,10.28153301,2.076116251,20.15116144,4.018710194,100.1603758,88.34833597,60.74461051,2.39915057,5.89409882
GENO157,9.569314877,2.020953104,17.46548266,4.351230854,97.49571122,86.2733144,58.14525521,2.215540594,5.705399561
GENO158,9.710879748,2.061296046,17.40569502,4.162297405,100.7527474,91.07276818,68.24031269,2.192172706,5.544074545
GENO159,9.596362349,2.043272717,17.03822948,3.90737778,99.67281842,89.67750619,69.03929891,2.134930598,5.70279674
GENO160,9.979621489,2.02891222,18.89665268,4.543533136,99.97017481,89.25571384,54.971301,2.27243513,5.882826042
GENO161,10.14051611,2.119902185,18.54246227,5.092875607,99.1130877,88.33598196,56.91545797,2.223468028,5.788541974
GENO162,9.41849184,1.918785016,15.81715145,4.010305769,101.4990347,91.87419665,66.97144909,2.026417279,5.962950761
GENO163,9.155496344,1.987512154,16.34664436,4.145839324,99.9009471,89.62085908,50.93501611,2.145670398,5.656084914
GENO164,7.946184551,2.226624638,13.92699508,4.223711957,100.4510604,86.49819738,71.89548004,2.151711508,4.255250881
GENO165,8.692909469,2.337044939,17.01031588,4.049621167,101.7012486,88.16521416,45.7649517,2.375244186,4.510942837
GENO166,9.831280699,1.909494016,18.78557165,5.205582446,99.13496938,84.86440129,33.88012354,2.319185165,6.148298696
GENO167,9.873420366,2.012404483,18.38194529,5.220974545,101.1643814,87.78882134,48.29668726,2.239125511,5.920291807
GENO168,9.577898634,2.049850374,18.26207743,3.90561855,102.2386303,93.29068309,76.3781738,2.31048563,5.642344868
GENO169,9.506914267,1.918278991,17.60627062,3.987188735,102.3485286,93.81995752,77.54839925,2.226993413,5.970583796
GENO170,9.522713408,1.987126037,17.07584168,4.474104778,100.7271608,91.47191681,70.52149433,2.166539759,5.773129825
GENO171,7.554086722,1.985155703,12.25548566,4.65457927,97.72376128,88.10725794,71.25582625,1.942754389,4.622993774
GENO172,9.472091762,1.99668673,16.76102842,4.496278408,101.6633131,92.08548894,63.87513396,2.133952795,5.719567522
GENO173,9.508825588,1.987248875,16.85944494,4.651754368,101.35347,89.64467472,66.56997562,2.140245188,5.825340161
GENO174,9.451328694,2.020028143,16.60454422,4.412480951,100.123573,90.19690229,59.00748252,2.123576221,5.61501225
GENO175,9.514714842,2.043391843,17.52823618,4.747907586,100.8225132,90.29042584,60.26696608,2.222714388,5.623150405
GENO176,9.578342447,1.869284389,16.29874727,3.827627134,96.68308628,82.20526399,62.83396518,2.047396748,6.209151046
GENO177,9.844310054,2.003237348,17.4323468,4.485335988,100.2218388,90.24477738,65.31568715,2.134979784,6.036148151
GENO178,9.648170075,2.051943036,17.07482735,4.930190638,100.381607,91.10300051,66.63473402,2.13175898,5.696569043
GENO179,9.742844441,2.05339501,17.1562855,4.540362287,102.0462819,88.76116703,65.96105662,2.113966751,5.771145797
GENO180,9.783586216,2.004212134,17.23622396,4.571409023,100.4055668,90.27085282,63.7507548,2.125178936,5.874766248
GENO181,9.646499269,2.003432428,16.47829573,4.616185658,102.459349,92.60603369,66.63735521,2.069528556,5.788519602
GENO182,10.02597902,2.003100044,16.96869997,4.615673675,100.8931306,90.94764787,58.16686369,2.036994206,6.053420645
GENO183,9.158032015,1.636888478,18.10547308,4.630089164,96.14752229,86.24108015,58.86528542,2.406356129,6.671894239
GENO184,6.973744228,1.798969654,11.39316506,4.49788338,104.9460916,91.92549955,71.62162186,1.991306225,4.604610797
GENO185,9.942042664,2.032506283,17.78336988,6.164668198,98.15457948,88.32628254,64.69974803,2.169303083,5.857958114
GENO186,9.263856936,1.949107126,16.26535268,3.90706496,100.0558605,90.53856928,66.66597244,2.135303647,5.666516783
