Pedigree,LOC,Trait
Genoy216,loc2,85.43629548
Genoy216,LOC3,87.02776781
Genoy216,LOC4,85.04005733
Genoy222,loc1,86.51232879
Genoy222,loc2,84.55893265
Genoy222,LOC3,86.91200553
Genoy222,LOC4,85.30689197
Genoy23,loc1,79.04606806
Genoy23,loc2,79.50109465
Genoy23,LOC3,80.04411818
Genoy23,LOC4,79.00058002
Genoy231,loc1,84.30858938
Genoy231,loc2,83.28112962
Genoy231,LOC3,85.40266357
Genoy231,LOC4,84.03165451
Genoy234,loc1,86.10178432
Genoy234,loc2,87.77738223
Genoy234,LOC3,87.21365911
Genoy234,LOC4,86.84708423
Genoy237,loc1,86.98886619
Genoy237,loc2,87.37181424
Genoy237,LOC3,87.82471537
Genoy237,LOC4,87.53014923
Genoy238,loc1,82.05251289
Genoy238,loc2,81.9428217
Genoy238,LOC3,82.9663241
Genoy238,LOC4,83.30600967
Genoy239,loc1,83.95213414
Genoy239,loc2,82.77668068
Genoy239,LOC3,84.73851657
Genoy239,LOC4,83.80881974
Genoy24,loc1,82.74958843
Genoy24,loc2,85.3797185
Genoy24,LOC3,85.09616034
Genoy24,LOC4,84.32053188
Genoy240,loc1,84.73708748
Genoy240,loc2,84.24336242
Genoy240,LOC3,86.1010408
Genoy240,LOC4,83.36156984
Genoy241,loc1,82.18997226
Genoy241,loc2,80.18143864
Genoy241,LOC3,84.03384746
Genoy241,LOC4,83.4679722
Genoy247,loc1,87.24062623
Genoy247,loc2,85.03428111
Genoy247,LOC3,87.34971263
Genoy247,LOC4,86.42661995
Genoy248,loc1,87.40780918
Genoy248,loc2,87.64780626
Genoy248,LOC3,88.86649506
Genoy248,LOC4,87.86127148
Genoy251,loc1,85.21625507
Genoy251,loc2,87.42835509
Genoy251,LOC3,87.29755926
Genoy251,LOC4,86.44793569
Genoy255,loc1,86.56563758
Genoy255,loc2,86.78077032
Genoy255,LOC3,86.3388043
Genoy255,LOC4,86.24055776
Genoy258,loc1,88.07224434
Genoy258,loc2,88.28238833
Genoy258,LOC3,88.74730562
Genoy258,LOC4,88.13485981
Genoy259,loc1,82.38610303
Genoy259,loc2,82.21629508
Genoy259,LOC3,83.56204914
Genoy259,LOC4,82.71370829
Genoy260,loc1,85.04676444
Genoy260,loc2,83.37149722
Genoy260,LOC3,86.76207037
Genoy260,LOC4,86.60282537
Genoy262,loc1,88.76543645
Genoy262,loc2,87.80149407
Genoy262,LOC3,89.08677766
Genoy262,LOC4,88.07240202
Genoy263,loc1,86.20606925
Genoy263,loc2,85.39514358
Genoy263,LOC3,87.21022751
Genoy263,LOC4,86.31685104
Genoy267,loc1,84.29138333
Genoy267,loc2,83.25984995
Genoy267,LOC3,85.79589532
Genoy267,LOC4,85.56459597
